;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
 ESTABLECIMIENTOS REGION METROPOLITANA ;;;;;;;;;
Código;Còdigo Fundación;Numero Cuenta Corriente ;Código SENAME;Nombre del Programa; TIPO DE PROGRAMA ; FECHA DE INGRESO ;VALOR USS; PORCENTAJE ZONA ; CANTIDAD USS 
280; 104 ;10562753;1131858; PPF Ciudad del Niño Quilicura ;PPF;01-01-2020;$ 16.740;0,0%;4,5
250; 250 ;52292878;1131859; PIE C. del Niño Talagante ;PIE;01-01-2020;$ 16.740;0,0%;9,3
273; 306 ;10549374;1131630; DAM CODENI Maipú Pudahuel ;DAM;01-01-2020;$ 16.740;0,0%;8,6
271; 307 ;35401478;1131629; DAM Ciudad del Niño Puente Alto  ;DAM;01-01-2020;$ 16.740;0,0%;8,6
270; 308 ;35401460;1131857; DAM Ciudad del niño Maipú ;DAM;01-01-2020;$ 16.740;0,0%;8,6
258; 953 ;61430064;1132137; PRM CDN Cordillera ;PRM;01-01-2020;$ 16.740;0,0%;9,3
254; 954 ;10562745;1131570; PRM C. del Niño  Talagante  ;PRM;01-01-2020;$ 16.740;0,0%;9,3
255; 955 ;10562800;1132139; PRM CDN Peñaflor ;PRM;01-01-2020;$ 16.740;0,0%;9,3
253; 956 ;10562842;1132140; PRM CDN Independencia ;PRM;01-01-2020;$ 16.740;0,0%;9,3
257; 957 ;61430056;1132141; PRM Isla de Maipo ;PRM;01-01-2020;$ 16.740;0,0%;9,3
251; 958 ;10262834;1131860; PRM Ciudad del Niño Quilicura ;PRM;01-01-2020;$ 16.740;0,0%;9,3
218; 959 ;61431389;1132143; PRM CDN Pudahuel Maipu ;PRM;01-01-2020;$ 16.740;0,0%;9,3
217; 960 ;70467129;1132144; PRM C. del Niño Pudahuel Lo Prado ;PRM;01-01-2020;$ 16.740;0,0%;9,3
256; 961 ;10549081;1132145; PRM CDN Puente Alto 2 ;PRM;01-01-2020;$ 16.740;0,0%;9,3
260; 962 ;10562796;1132146; PRM CDN Alhue ;PRM;01-01-2020;$ 16.740;0,0%;9,3
261; 963 ;61430081;1132147; PRM CDN Padre Hurtado ;PRM;01-01-2020;$ 16.740;0,0%;9,3
252; 964 ;10562770;1132148; PRM CDN Maipu ;PRM;01-01-2020;$ 16.740;0,0%;9,3
220; 965 ;61431397;1132149; PRM CDN Renca Cerro Navia ;PRM;01-01-2020;$ 16.740;0,0%;9,3
259; 966 ;61431401;1132150; PRM C. del Niño Cerrillos ;PRM;01-01-2020;$ 16.740;0,0%;9,3
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
 ESTABLECIMIENTOS REGIONES ;;;;;;;;;
Código;Còdigo Fundación;Numero Cuenta Corriente ;Código SENAME;Nombre del Programa; TIPO DE PROGRAMA ; FECHA DE INGRESO ;VALOR USS; PORCENTAJE ZONA ; CANTIDAD USS 
 503 ; 401 ;30047106;1070500; REM RES Ciudad del Niño Cauquenes ;RES;01-01-2020; $16.740 ;14,0%;25,1
 507 ; 402 ;10549200;1080974; REM RES Ciudad del Niño Los Angeles ;RES;01-01-2020; $16.740 ;14,0%;25,1
 508 ;;;; Residencia Los Angeles ;RES;01-01-2020; $16.740 ;14,0%;25,1
 670 ; 565 ;10549366;1100449; DAM CDN Prov. Osorno ;DAM;01-01-2020; $16.740 ;14,0%;8,6
 654 ; 566 ;35401516;1100450; DAM Puerto Montt ;DAM;01-01-2020; $16.740 ;14,0%;8,6
 655 ; 567 ;35401486;1080792; DAM Ciudad del Niño  Los Angeles ;DAM;01-01-2020; $16.740 ;14,0%;8,6
 656 ; 568 ;1591965203;1070416; DAM Ciudad del Niño  Cauquenes ;DAM;01-01-2020; $16.740 ;14,0%;8,6
 652 ; 569 ;35401524;1100504; DAM Ciudad del Niño Chiloe ;DAM;01-01-2020; $16.740 ;28,0%;8,6
 590 ; 577 ;10549013;1090352; PLE CODENI Malleco - Angol  ;PLE;01-01-2020; $16.740 ;14,0%;11,32
 591 ; 578 ;10577122;1100404; PLE Codeni Llanquihue Palena  ;PLE;01-01-2020; $16.740 ;14,0%;11,32
 564 ; 579 ;35401168;1140074; PLE Codeni Valdivia Corral ;PLE;01-01-2020; $16.740 ;14,0%;11,32
 561 ; 581 ;35401222;1100403; PLE Osorno Codeni ;PLE;01-01-2020; $16.740 ;14,0%;11,32
 567 ; 582 ;35401192;1140073; PLE CODENI Comunas de los Rios ;PLE;01-01-2020; $16.740 ;14,0%;11,32
 583 ; 596 ;10554874;1100551; PMCA  Llanquihue y Palena ;PMCA;01-01-2020; $16.740 ;14,0%;5,9
 568 ; 597 ;35401176;1140147; MCA Ciudad de Niños Los Rios ;MCA;01-01-2020; $16.740 ;14,0%;5,9
 605 ; 598 ;61511862;1140146; PLA Ciudad del Niño Regios de los Rios ;PLA;01-01-2020; $16.740 ;14,0%;8,71
 560 ; 599 ;35401214;1100547; PLA Ciudad del Niño Osorno ;PLA;01-01-2020; $16.740 ;14,0%;8,71
 594 ; 606 ;10549251;1100546; PLA  CDN Llanquihue Palena ;PLA;01-01-2020; $16.740 ;14,0%;8,71
 593 ; 607 ;10549137;1090506; PLA CDN Malleco ;PLA;01-01-2020; $16.740 ;14,0%;8,71
 582 ; 608 ;35401494;1090507; MCA CDN Malleco ;MCA;01-01-2020; $16.740 ;14,0%;5,9
 609 ; 609 ;52292819;1090511; PLA CDN Temuco ;PLA;01-01-2020; $16.740 ;14,0%;8,71
 562 ; 610 ;35401231;1100554; MCA CDN Osorno ;MCA;01-01-2020; $16.740 ;14,0%;5,9
 510 ; 624 ;10549285;1100350; Residencia Pto. Montt ;RES;01-01-2020; $16.740 ;14,0%;25,1
 513 ; 628 ;30047106;1070501;Per Cauquenes;PER;01-01-2020; $16.740 ;14,0%;10,6
 629 ; 629 ;30047106;1070532; EMG-Apoyo Personalizado a Nino con Necesidad Especial ;EMG;01-01-2020; $16.740 ;;
 597 ; 645 ;10577114;1100464; PIE Ciudad del Niño Castro ;PIE;01-01-2020; $16.740 ;28,0%;9,3
 575 ; 646 ;10549382;1100465; PIE Ciudad del Niño Puerto Montt ;PIE;01-01-2020; $16.740 ;14,0%;9,3
 572 ; 647 ;10562851;1080812; PIE Ciudad del Niño Chillan ;PIE;01-01-2020; $16.740 ;14,0%;9,3
 573 ; 648 ;10549196;1080813; PIE Ciudad del Niño Concepción ;PIE;01-01-2020; $16.740 ;14,0%;9,3
 574 ; 649 ;10577131;1080811; PIE CODENI San Pedro ;PIE;01-01-2020; $16.740 ;14,0%;9,3
 569 ; 658 ;35401419;1140143; SBC - Ciudad del Niño los Rios (Valdivia)  ;SBC;01-01-2020; $16.740 ;14,0%;7,7
 570 ; 659 ;35401249;1100525; SBC-RD CDN Los Lagos ;SBC;01-01-2020; $16.740 ;14,0%;7,7
 595 ; 660 ;10577190;1090517; SBC Ciudad del Niño Malleco ;PSA;01-01-2020; $16.740 ;14,0%;7,7
 669 ; 669 ;70467102;1090386; PSA CODENI Cautin ;PSA;01-01-2020; $16.740 ;14,0%;7,7
 688 ; 688 ;10577173;1100558; PSA  Ciudad del Niño Llanquihue Palena ;PSA;01-01-2020; $16.740 ;14,0%;7,7
 682 ; 689 ;10577238;1100575; PSA Ciudad del Niño Chiloe ;PSA;01-01-2020; $16.740 ;28,0%;7,7
 617 ; 712 ;10549064;1060203; PPF CODENI Chimbarongo ex Sur ;PPF;01-01-2020; $16.740 ;0,0%;4,5
 619 ; 715 ;10549111;1080638; PPF CODENI Chillán ;PPF;01-01-2020; $16.740 ;14,0%;4,5
 723 ; 723 ;61430102;1100444; PPF Ciudad del Niño Quellon ;PPF;01-01-2020; $16.740 ;28,0%;4,5
 623 ; 724 ;10555285;1080782; PPF Ciudad del Niño Lota Alto ;PPF;01-01-2020; $16.740 ;28,0%;4,5
 621 ; 725 ;10549277;1080783; PPF Ciudad del Niño Coronel Sur ;PPF;01-01-2020; $16.740 ;14,0%;4,5
 620 ; 726 ;10554866;1080786; PPF Ciudad del Niño Coronel Norte ;PPF;01-01-2020; $16.740 ;14,0%;4,5
 622 ; 727 ;10562869;1080787; PPF Ciudad del Niño Lota bajo ;PPF;01-01-2020; $16.740 ;28,0%;4,5
 633 ; 728 ;10577211;1140129; PPF C del Niño Futrono ;PPF;01-01-2020; $16.740 ;14,0%;4,5
 615 ; 729 ;10549021;1050936; PPF C del Niño San Antonio ;PPF;01-01-2020; $16.740 ;0,0%;4,5
 618 ; 730 ;10577149;1070473; PPF CODENI Curico  ;PPF;01-01-2020; $16.740 ;0,0%;4,5
 700 ; 753 ;10577165;1140140; PIL Ciudad del Niño Valdivia ;PIL;01-01-2020; $16.740 ;14,0%;7,11
 751 ; 754 ;61511846;1100511; PIL CDN Los Lagos ;PIL;01-01-2020; $16.740 ;14,0%;7,11
 653 ; 760 ;35401508;1140130; DAM C del Niño Valdivia ;DAM;01-01-2020; $16.740 ;14,0%;8,6
 659 ; 761 ;10549161;1100503; DAM C del Niño Osorno ;DAM;01-01-2020; $16.740 ;14,0%;8,6
 805 ; 805 ;52292835;1050898; PIE C del Niño Valparaiso ;PIE;01-01-2020; $16.740 ;14,0%;9,3
 806 ; 806 ;52292991;1070474; PIE C del Niño Cauquenes ;PIE;01-01-2020; $16.740 ;14,0%;9,3
 807 ; 807 ;52292827;1090493; PIE C del Niño Angol ;PIE;01-01-2020; $16.740 ;14,0%;9,3
 914 ; 914 ;61511854;1140108; PRM Cudad del niño Paillaco ;PRM;01-01-2020; $16.740 ;14,0%;9,3
 916 ; 916 ;52292908;1140128; PRM Ciudad del Niño Panguipulli ;PRM;01-01-2020; $16.740 ;14,0%;9,3
 920 ; 920 ;52292941;1050964; PRM Villa Alemana Norte ;PRM;01-01-2020; $16.740 ;0,0%;9,3
 921 ; 921 ;52292924;1050977; PRM Villa Alemana Sur ;PRM;01-01-2020; $16.740 ;0,0%;9,3
 922 ; 922 ;52292967;1050978; PRM San Antonio ;PRM;01-01-2020; $16.740 ;0,0%;9,3
 578 ; 931 ;10562826;1100571; PSA Ciudad del Niño Osorno ;PSA;01-01-2020; $16.740 ;14,0%;7,7
 933 ; 933 ;52292886;1100582; PRM CDN Los Lagos ;PRM;01-01-2020; $16.740 ;14,0%;9,3
 934 ; 934 ;52292894;1090527; PRM CDN Malleco ;PRM;01-01-2020; $16.740 ;14,0%;9,3
 935 ; 935 ;52292851;1020328; PRM CDN Calama ;PRM;01-01-2020; $16.740 ;28,0%;9,3
 908 ; 936 ;61430137;1090526; PRM CDN Araucania ;PRM;01-01-2020; $16.740 ;14,0%;9,3
