Rut Empresa;Nombre Empresa;N£mero de cuenta;Moneda;Saldo Contable 09AM;Retenci¢n 1 D¡a;Retenci¢n + 1 D¡a;Saldo Contable;Saldo Disponible
70.037.600-1;BCI ADMINISTRACION CENTRAL;10547924;CLP;24.506.701;0;0;35.070.451;35.070.451
70.037.600-1;BCI ADMINISTRACION CENTRAL;10549013;CLP;35.789.744;0;0;35.785.117;35.785.117
70.037.600-1;BCI ADMINISTRACION CENTRAL;10549021;CLP;2.168.899;0;0;2.158.441;2.158.441
70.037.600-1;BCI ADMINISTRACION CENTRAL;10549030;CLP;19.540.926;0;0;19.040.224;19.040.224
70.037.600-1;BCI ADMINISTRACION CENTRAL;10549048;CLP;1.180.210;0;0;1.144.158;1.144.158
70.037.600-1;BCI ADMINISTRACION CENTRAL;10549064;CLP;0;0;0;0;0
70.037.600-1;BCI ADMINISTRACION CENTRAL;10549081;CLP;12.315.965;0;0;12.256.098;12.256.098
70.037.600-1;BCI ADMINISTRACION CENTRAL;10549111;CLP;6.932.137;0;0;6.909.716;6.909.716
70.037.600-1;BCI ADMINISTRACION CENTRAL;10549137;CLP;12.745.802;0;0;12.741.367;12.741.367
70.037.600-1;BCI ADMINISTRACION CENTRAL;10549145;CLP;49.893.107;0;0;49.561.817;49.561.817
70.037.600-1;BCI ADMINISTRACION CENTRAL;10549153;CLP;30.887.167;0;0;30.432.578;30.432.578
70.037.600-1;BCI ADMINISTRACION CENTRAL;10549161;CLP;11.684.128;0;0;11.684.128;11.684.128
70.037.600-1;BCI ADMINISTRACION CENTRAL;10549170;CLP;48.910.273;0;0;48.846.233;48.846.233
70.037.600-1;BCI ADMINISTRACION CENTRAL;10549188;CLP;114.668.174;0;0;104.795.845;104.795.845
70.037.600-1;BCI ADMINISTRACION CENTRAL;10549196;CLP;39.561.533;0;0;39.457.780;39.457.780
70.037.600-1;BCI ADMINISTRACION CENTRAL;10549200;CLP;53.510.945;0;0;49.348.991;49.348.991
70.037.600-1;BCI ADMINISTRACION CENTRAL;10549218;CLP;0;0;0;0;0
70.037.600-1;BCI ADMINISTRACION CENTRAL;10549226;CLP;44.743.926;0;0;44.287.717;44.287.717
70.037.600-1;BCI ADMINISTRACION CENTRAL;10549251;CLP;7.775.600;0;0;7.775.600;7.775.600
70.037.600-1;BCI ADMINISTRACION CENTRAL;10549269;CLP;2.166.810;0;0;2.157.874;2.157.874
70.037.600-1;BCI ADMINISTRACION CENTRAL;10549277;CLP;26.519.047;0;0;26.509.925;26.509.925
70.037.600-1;BCI ADMINISTRACION CENTRAL;10549285;CLP;46.252.562;0;0;44.967.737;44.967.737
70.037.600-1;BCI ADMINISTRACION CENTRAL;10549293;CLP;96.109.310;0;0;95.477.052;95.477.052
70.037.600-1;BCI ADMINISTRACION CENTRAL;10549366;CLP;0;0;0;0;0
70.037.600-1;BCI ADMINISTRACION CENTRAL;10549374;CLP;1.735.968;0;0;1.735.968;1.735.968
70.037.600-1;BCI ADMINISTRACION CENTRAL;10549382;CLP;16.369.283;0;0;16.287.656;16.287.656
70.037.600-1;BCI ADMINISTRACION CENTRAL;10549391;CLP;11.032.961;0;0;10.901.907;10.901.907
70.037.600-1;BCI ADMINISTRACION CENTRAL;10554866;CLP;15.079.958;0;0;15.049.424;15.049.424
70.037.600-1;BCI ADMINISTRACION CENTRAL;10554874;CLP;9.296.909;0;0;9.296.909;9.296.909
70.037.600-1;BCI ADMINISTRACION CENTRAL;10555285;CLP;42.777.191;0;0;42.759.504;42.759.504
70.037.600-1;BCI ADMINISTRACION CENTRAL;10562729;CLP;6.223.663;0;0;6.216.648;6.216.648
70.037.600-1;BCI ADMINISTRACION CENTRAL;10562745;CLP;27.962.299;0;0;27.761.237;27.761.237
70.037.600-1;BCI ADMINISTRACION CENTRAL;10562753;CLP;28.927.697;0;0;28.901.799;28.901.799
70.037.600-1;BCI ADMINISTRACION CENTRAL;10562770;CLP;22.005.663;0;0;21.830.246;21.830.246
70.037.600-1;BCI ADMINISTRACION CENTRAL;10562796;CLP;10.881.468;0;0;10.592.515;10.592.515
70.037.600-1;BCI ADMINISTRACION CENTRAL;10562800;CLP;21.239.940;0;0;21.108.480;21.108.480
70.037.600-1;BCI ADMINISTRACION CENTRAL;10562826;CLP;14.325.787;0;0;14.323.523;14.323.523
70.037.600-1;BCI ADMINISTRACION CENTRAL;10562834;CLP;31.634.251;0;0;31.547.612;31.547.612
70.037.600-1;BCI ADMINISTRACION CENTRAL;10562842;CLP;10.075.907;0;0;9.875.606;9.875.606
70.037.600-1;BCI ADMINISTRACION CENTRAL;10562851;CLP;76.541.001;0;0;76.366.215;76.366.215
70.037.600-1;BCI ADMINISTRACION CENTRAL;10562869;CLP;33.673.371;0;0;33.667.513;33.667.513
70.037.600-1;BCI ADMINISTRACION CENTRAL;10577114;CLP;45.366.912;0;0;45.249.929;45.249.929
70.037.600-1;BCI ADMINISTRACION CENTRAL;10577122;CLP;10.712.767;0;0;10.712.767;10.712.767
70.037.600-1;BCI ADMINISTRACION CENTRAL;10577131;CLP;34.622.771;0;0;34.578.541;34.578.541
